,ORIGIN_AIRPORT,delay,date
185,MLB,2,2015-12-18
186,MLI,7,2015-12-18
187,MLU,8,2015-12-18
188,MOB,10,2015-12-18
189,MOT,1,2015-12-18
190,MQT,1,2015-12-18
191,MRY,4,2015-12-18
192,MSN,22,2015-12-18
193,MSO,2,2015-12-18
194,MSP,176,2015-12-18
195,MSY,56,2015-12-18
196,MTJ,3,2015-12-18
197,MYR,1,2015-12-18
198,OAJ,2,2015-12-18
199,OAK,27,2015-12-18
200,OGG,25,2015-12-18
201,OKC,28,2015-12-18
202,OMA,27,2015-12-18
203,OME,1,2015-12-18
204,ONT,22,2015-12-18
205,ORD,431,2015-12-18
206,ORF,12,2015-12-18
207,ORH,2,2015-12-18
208,PAH,2,2015-12-18
209,PBI,12,2015-12-18
210,PDX,83,2015-12-18
211,PHF,2,2015-12-18
212,PHL,116,2015-12-18
213,PHX,225,2015-12-18
214,PIA,8,2015-12-18
215,PIB,1,2015-12-18
216,PIH,1,2015-12-18
217,PIT,41,2015-12-18
218,PNS,13,2015-12-18
219,PPG,1,2015-12-18
220,PSC,3,2015-12-18
221,PSE,2,2015-12-18
222,PSG,2,2015-12-18
223,PSP,16,2015-12-18
224,PVD,17,2015-12-18
225,PWM,10,2015-12-18
226,RAP,4,2015-12-18
227,RDD,1,2015-12-18
228,RDM,4,2015-12-18
229,RDU,35,2015-12-18
230,RHI,2,2015-12-18
231,RIC,26,2015-12-18
232,RKS,1,2015-12-18
233,RNO,18,2015-12-18
234,ROA,3,2015-12-18
235,ROC,13,2015-12-18
236,ROW,2,2015-12-18
237,RST,3,2015-12-18
238,RSW,49,2015-12-18
239,SAF,3,2015-12-18
240,SAN,73,2015-12-18
241,SAT,59,2015-12-18
242,SAV,12,2015-12-18
243,SBA,5,2015-12-18
244,SBN,5,2015-12-18
245,SBP,3,2015-12-18
246,SCC,3,2015-12-18
247,SDF,17,2015-12-18
248,SEA,151,2015-12-18
249,SFO,82,2015-12-18
250,SGF,13,2015-12-18
251,SGU,3,2015-12-18
252,SHV,16,2015-12-18
253,SIT,1,2015-12-18
254,SJC,38,2015-12-18
