,ORIGIN_AIRPORT,count,date
212,OMA,57,2015-12-18
213,OME,2,2015-12-18
214,ONT,56,2015-12-18
215,ORD,881,2015-12-18
216,ORF,30,2015-12-18
217,ORH,2,2015-12-18
218,OTH,1,2015-12-18
219,OTZ,2,2015-12-18
220,PAH,2,2015-12-18
221,PBG,1,2015-12-18
222,PBI,82,2015-12-18
223,PDX,158,2015-12-18
224,PHF,4,2015-12-18
225,PHL,213,2015-12-18
226,PHX,469,2015-12-18
227,PIA,16,2015-12-18
228,PIB,2,2015-12-18
229,PIH,2,2015-12-18
230,PIT,74,2015-12-18
231,PLN,2,2015-12-18
232,PNS,19,2015-12-18
233,PPG,1,2015-12-18
234,PSC,11,2015-12-18
235,PSE,3,2015-12-18
236,PSG,2,2015-12-18
237,PSP,27,2015-12-18
238,PVD,40,2015-12-18
239,PWM,16,2015-12-18
240,RAP,8,2015-12-18
241,RDD,2,2015-12-18
242,RDM,7,2015-12-18
243,RDU,103,2015-12-18
244,RHI,3,2015-12-18
245,RIC,48,2015-12-18
246,RKS,2,2015-12-18
247,RNO,39,2015-12-18
248,ROA,7,2015-12-18
249,ROC,24,2015-12-18
250,ROW,3,2015-12-18
251,RST,6,2015-12-18
252,RSW,98,2015-12-18
253,SAF,3,2015-12-18
254,SAN,217,2015-12-18
255,SAT,91,2015-12-18
256,SAV,20,2015-12-18
257,SBA,14,2015-12-18
258,SBN,14,2015-12-18
259,SBP,7,2015-12-18
260,SCC,3,2015-12-18
261,SCE,2,2015-12-18
262,SDF,29,2015-12-18
263,SEA,359,2015-12-18
264,SFO,490,2015-12-18
265,SGF,19,2015-12-18
266,SGU,6,2015-12-18
267,SHV,19,2015-12-18
268,SIT,3,2015-12-18
269,SJC,116,2015-12-18
270,SJT,5,2015-12-18
271,SJU,90,2015-12-18
272,SLC,299,2015-12-18
273,SMF,113,2015-12-18
274,SMX,1,2015-12-18
275,SNA,128,2015-12-18
276,SPI,5,2015-12-18
277,SPS,3,2015-12-18
278,SRQ,12,2015-12-18
279,STL,152,2015-12-18
280,STT,17,2015-12-18
281,STX,3,2015-12-18
282,SUN,4,2015-12-18
283,SUX,2,2015-12-18
284,SWF,2,2015-12-18
285,SYR,21,2015-12-18
286,TLH,9,2015-12-18
287,TOL,3,2015-12-18
288,TPA,204,2015-12-18
289,TRI,6,2015-12-18
290,TTN,9,2015-12-18
291,TUL,41,2015-12-18
292,TUS,44,2015-12-18
293,TVC,9,2015-12-18
294,TWF,2,2015-12-18
295,TXK,3,2015-12-18
296,TYR,5,2015-12-18
297,TYS,19,2015-12-18
298,UST,1,2015-12-18
299,VLD,3,2015-12-18
300,VPS,16,2015-12-18
301,WRG,2,2015-12-18
302,XNA,32,2015-12-18
303,YAK,2,2015-12-18
304,YUM,6,2015-12-18
305,ABE,3,2015-12-19
306,ABI,6,2015-12-19
307,ABQ,43,2015-12-19
308,ABR,2,2015-12-19
309,ABY,2,2015-12-19
310,ACT,5,2015-12-19
311,ACV,5,2015-12-19
312,ACY,10,2015-12-19
313,ADQ,1,2015-12-19
314,AEX,9,2015-12-19
315,AGS,6,2015-12-19
316,ALB,23,2015-12-19
317,ALO,1,2015-12-19
318,AMA,8,2015-12-19
319,ANC,45,2015-12-19
320,APN,1,2015-12-19
321,ASE,28,2015-12-19
322,ATL,963,2015-12-19
323,ATW,9,2015-12-19
324,AUS,114,2015-12-19
325,AVL,7,2015-12-19
326,AVP,4,2015-12-19
327,AZO,4,2015-12-19
328,BDL,48,2015-12-19
329,BET,2,2015-12-19
330,BFL,6,2015-12-19
331,BGM,1,2015-12-19
332,BHM,28,2015-12-19
333,BIL,9,2015-12-19
334,BIS,12,2015-12-19
335,BJI,2,2015-12-19
336,BLI,3,2015-12-19
337,BMI,8,2015-12-19
338,BNA,112,2015-12-19
339,BOI,40,2015-12-19
340,BOS,245,2015-12-19
341,BPT,3,2015-12-19
342,BQK,2,2015-12-19
343,BQN,5,2015-12-19
344,BRD,1,2015-12-19
345,BRO,7,2015-12-19
346,BRW,3,2015-12-19
347,BTM,2,2015-12-19
348,BTR,19,2015-12-19
349,BTV,11,2015-12-19
350,BUF,44,2015-12-19
351,BUR,47,2015-12-19
352,BWI,223,2015-12-19
353,BZN,19,2015-12-19
354,CAE,11,2015-12-19
355,CAK,16,2015-12-19
356,CDC,1,2015-12-19
357,CDV,2,2015-12-19
358,CHA,9,2015-12-19
359,CHO,7,2015-12-19
360,CHS,32,2015-12-19
361,CID,17,2015-12-19
362,CIU,2,2015-12-19
363,CLE,82,2015-12-19
364,CLL,5,2015-12-19
365,CLT,276,2015-12-19
366,CMH,59,2015-12-19
367,CMI,5,2015-12-19
368,CMX,2,2015-12-19
369,COD,2,2015-12-19
370,COS,21,2015-12-19
371,COU,4,2015-12-19
372,CPR,5,2015-12-19
373,CRP,11,2015-12-19
374,CRW,6,2015-12-19
375,CSG,2,2015-12-19
376,CVG,54,2015-12-19
377,CWA,3,2015-12-19
378,DAB,5,2015-12-19
379,DAL,157,2015-12-19
380,DAY,19,2015-12-19
381,DBQ,2,2015-12-19
382,DCA,161,2015-12-19
383,DEN,590,2015-12-19
384,DFW,653,2015-12-19
385,DHN,3,2015-12-19
386,DLH,5,2015-12-19
387,DRO,7,2015-12-19
388,DSM,21,2015-12-19
389,DTW,287,2015-12-19
390,DVL,1,2015-12-19
391,EAU,2,2015-12-19
392,ECP,11,2015-12-19
393,EGE,14,2015-12-19
394,EKO,1,2015-12-19
395,ELM,3,2015-12-19
396,ELP,28,2015-12-19
397,ERI,2,2015-12-19
398,ESC,1,2015-12-19
399,EUG,10,2015-12-19
400,EVV,9,2015-12-19
401,EWN,1,2015-12-19
402,EWR,272,2015-12-19
403,EYW,7,2015-12-19
404,FAI,6,2015-12-19
405,FAR,19,2015-12-19
406,FAT,20,2015-12-19
407,FAY,4,2015-12-19
408,FCA,7,2015-12-19
409,FLG,6,2015-12-19
410,FLL,274,2015-12-19
411,FNT,13,2015-12-19
412,FSD,11,2015-12-19
413,FSM,5,2015-12-19
414,FWA,13,2015-12-19
415,GCC,2,2015-12-19
416,GCK,2,2015-12-19
417,GEG,24,2015-12-19
418,GFK,5,2015-12-19
419,GGG,2,2015-12-19
420,GJT,12,2015-12-19
421,GNV,6,2015-12-19
422,GPT,9,2015-12-19
423,GRB,12,2015-12-19
424,GRI,2,2015-12-19
425,GRK,11,2015-12-19
426,GRR,23,2015-12-19
427,GSO,13,2015-12-19
428,GSP,16,2015-12-19
429,GTF,5,2015-12-19
430,GTR,2,2015-12-19
431,GUC,5,2015-12-19
432,GUM,1,2015-12-19
433,HDN,11,2015-12-19
434,HIB,2,2015-12-19
435,HLN,4,2015-12-19
436,HNL,135,2015-12-19
437,HOB,1,2015-12-19
438,HOU,121,2015-12-19
439,HPN,18,2015-12-19
440,HRL,8,2015-12-19
441,HSV,11,2015-12-19
442,HYS,1,2015-12-19
443,IAD,86,2015-12-19
444,IAG,1,2015-12-19
445,IAH,389,2015-12-19
446,ICT,24,2015-12-19
447,IDA,6,2015-12-19
