,MONTH,DAY,ORIGIN_AIRPORT,count,year,date
144,12,18,ILM,6,2015,2015-12-18
145,12,18,IMT,2,2015,2015-12-18
146,12,18,IND,88,2015,2015-12-18
147,12,18,INL,2,2015,2015-12-18
148,12,18,ISN,6,2015,2015-12-18
149,12,18,ISP,13,2015,2015-12-18
150,12,18,ITO,17,2015,2015-12-18
151,12,18,JAC,16,2015,2015-12-18
152,12,18,JAN,21,2015,2015-12-18
153,12,18,JAX,58,2015,2015-12-18
154,12,18,JFK,271,2015,2015-12-18
155,12,18,JLN,2,2015,2015-12-18
156,12,18,JMS,3,2015,2015-12-18
157,12,18,JNU,11,2015,2015-12-18
158,12,18,KOA,35,2015,2015-12-18
159,12,18,KTN,6,2015,2015-12-18
160,12,18,LAN,9,2015,2015-12-18
161,12,18,LAR,2,2015,2015-12-18
162,12,18,LAS,410,2015,2015-12-18
163,12,18,LAW,4,2015,2015-12-18
164,12,18,LAX,597,2015,2015-12-18
165,12,18,LBB,16,2015,2015-12-18
166,12,18,LBE,3,2015,2015-12-18
167,12,18,LCH,6,2015,2015-12-18
168,12,18,LEX,19,2015,2015-12-18
169,12,18,LFT,13,2015,2015-12-18
170,12,18,LGA,274,2015,2015-12-18
171,12,18,LGB,26,2015,2015-12-18
172,12,18,LIH,38,2015,2015-12-18
173,12,18,LIT,31,2015,2015-12-18
174,12,18,LNK,8,2015,2015-12-18
175,12,18,LRD,6,2015,2015-12-18
176,12,18,LSE,6,2015,2015-12-18
177,12,18,LWS,2,2015,2015-12-18
178,12,18,MAF,19,2015,2015-12-18
179,12,18,MBS,5,2015,2015-12-18
180,12,18,MCI,122,2015,2015-12-18
181,12,18,MCO,363,2015,2015-12-18
182,12,18,MDT,8,2015,2015-12-18
183,12,18,MDW,240,2015,2015-12-18
184,12,18,MEI,3,2015,2015-12-18
185,12,18,MEM,44,2015,2015-12-18
186,12,18,MFE,8,2015,2015-12-18
187,12,18,MFR,8,2015,2015-12-18
188,12,18,MGM,11,2015,2015-12-18
189,12,18,MHK,5,2015,2015-12-18
190,12,18,MHT,16,2015,2015-12-18
191,12,18,MIA,220,2015,2015-12-18
192,12,18,MKE,89,2015,2015-12-18
193,12,18,MKG,2,2015,2015-12-18
194,12,18,MLB,4,2015,2015-12-18
195,12,18,MLI,12,2015,2015-12-18
196,12,18,MLU,9,2015,2015-12-18
197,12,18,MMH,1,2015,2015-12-18
198,12,18,MOB,17,2015,2015-12-18
199,12,18,MOT,6,2015,2015-12-18
200,12,18,MQT,1,2015,2015-12-18
201,12,18,MRY,7,2015,2015-12-18
202,12,18,MSN,30,2015,2015-12-18
203,12,18,MSO,5,2015,2015-12-18
204,12,18,MSP,336,2015,2015-12-18
205,12,18,MSY,119,2015,2015-12-18
206,12,18,MTJ,6,2015,2015-12-18
207,12,18,MYR,7,2015,2015-12-18
208,12,18,OAJ,3,2015,2015-12-18
209,12,18,OAK,138,2015,2015-12-18
210,12,18,OGG,70,2015,2015-12-18
211,12,18,OKC,52,2015,2015-12-18
212,12,18,OMA,57,2015,2015-12-18
213,12,18,OME,2,2015,2015-12-18
214,12,18,ONT,56,2015,2015-12-18
215,12,18,ORD,881,2015,2015-12-18
216,12,18,ORF,30,2015,2015-12-18
217,12,18,ORH,2,2015,2015-12-18
218,12,18,OTH,1,2015,2015-12-18
219,12,18,OTZ,2,2015,2015-12-18
220,12,18,PAH,2,2015,2015-12-18
221,12,18,PBG,1,2015,2015-12-18
222,12,18,PBI,82,2015,2015-12-18
223,12,18,PDX,158,2015,2015-12-18
224,12,18,PHF,4,2015,2015-12-18
225,12,18,PHL,213,2015,2015-12-18
226,12,18,PHX,469,2015,2015-12-18
227,12,18,PIA,16,2015,2015-12-18
228,12,18,PIB,2,2015,2015-12-18
229,12,18,PIH,2,2015,2015-12-18
230,12,18,PIT,74,2015,2015-12-18
231,12,18,PLN,2,2015,2015-12-18
